product_name,product_url,category,status,stars
"Hammer Airflow True Wireless Earbud with Mic (Black & White), 5 Hours Playtime,with Magnetic Charging case (300mah),Built-in Voice Assistant & Bluetooth 5.0",https://yoshops.com/products/hammer-airflow-true-wireless-earbud-with-mic-black-white-5-hours-playtime-with-magnetic-charging-case-300mah-built-in-voice-assistant-bluetooth-5-0,Services,,5.0 star rating
Data Science Basic Training Program for Everyone(Age=10 to 60),https://yoshops.com/products/data-science-basic-training-program-for-everyone-age-10-t0-60,Services,,5.0 star rating
Panasonic Service center,https://yoshops.com/products/panasonic-service-center,Services,,5.0 star rating
Interior Designer Service,https://yoshops.com/products/interior-designer-service,Services,Reviewd,5.0 star rating
Detective& Security Services,https://yoshops.com/products/detective-security-services,Services,,5.0 star rating
Real Estate Services,https://yoshops.com/products/real-estate-services,Services,,5.0 star rating
Wedding & Event Planer,https://yoshops.com/products/event-weddingplaner,Services,,5.0 star rating
Coaching Service,https://yoshops.com/products/coaching-service,Services,,5.0 star rating
Gym & Fitness Service,https://yoshops.com/products/fitness-yoga-servies,Services,,5.0 star rating
Photography Services,https://yoshops.com/products/photography-services,Services,,5.0 star rating
Computer Repair Services,https://yoshops.com/products/computer-repair-services,Services,,5.0 star rating
Travel Agency Services,https://yoshops.com/products/travel-agency-services,Services,,5.0 star rating
Baby Care Services,https://yoshops.com/products/baby-care-services,Services,,5.0 star rating
Software Lease Service,https://yoshops.com/products/software-service-lease,Services,,5.0 star rating
Personal Finance Service,https://yoshops.com/products/financial-services,Services,,5.0 star rating
Insurance Service,https://yoshops.com/products/insurance-service,Services,,5.0 star rating
Digital Marketing Services,https://yoshops.com/products/digital-marketing-services,Services,,5.0 star rating
Bulk SMS Service,https://yoshops.com/products/bulk-sms-service,Services,,5.0 star rating
SEO Services,https://yoshops.com/products/seo-services,Services,,5.0 star rating
Laundry Service,https://yoshops.com/products/laundry-service,Services,,5.0 star rating
Room Booking Service,https://yoshops.com/products/room-service,Services,,5.0 star rating
Cleaning Service,https://yoshops.com/products/cleaning-service,Services,,5.0 star rating
Labour Supply Service and Manpower Supply Service (Berhampur),https://yoshops.com/products/labour-supply-service-and-manpower-supply-service-berhampur,Services,,5.0 star rating
Movers Packer Service,https://yoshops.com/products/movers-packer-service,Services,,5.0 star rating
Plumbing Service and Plumber Service,https://yoshops.com/products/plumbing-service-and-plumber-service,Services,,5.0 star rating
Electrician Services,https://yoshops.com/products/electrician-services,Services,,5.0 star rating
Air Conditioner Service,https://yoshops.com/products/air-conditioner-service,Services,,5.0 star rating
Water Purifier Service,https://yoshops.com/products/water-purifier-service,Services,,5.0 star rating
Legal Services,https://yoshops.com/products/legal-services,Services,,5.0 star rating
Home Nursing Service,https://yoshops.com/products/home-nursing-service,Services,,5.0 star rating
Website & Mobile App Developing Service,https://yoshops.com/products/website-mobile-app-developing-service,Services,,5.0 star rating
Peer to Peer Lending Service,https://yoshops.com/products/peer-to-peer-lending-service,Services,,5.0 star rating
Digital Marketing Internship Training Program,https://yoshops.com/products/digital-marketing-internship-training-program1,Services,Reviewd,5.0 star rating
Human Resource Internship Training Program,https://yoshops.com/products/human-resource-internship-training-program1,Services,Reviewd,5.0 star rating
Content Writing Internship Training Program,https://yoshops.com/products/content-writing-internship-training-program1,Services,,5.0 star rating
HR and Digital Marketing Dual Training Internship Course,https://yoshops.com/products/hr-and-digital-marketing-dual-training-internship-course1,Services,,5.0 star rating
SAP MM Business Analyst Internship Training Program,https://yoshops.com/products/sap-mm-business-analyst-internship-training-program,Services,,5.0 star rating
Business Development Internship Training Program,https://yoshops.com/products/business-development-internship-training-program1,Services,,5.0 star rating
HR and Finance Dual Internship Training Course,https://yoshops.com/products/hr-and-finance-dual-internship-training-course1,Services,,5.0 star rating
"ONLINE TUITION FOR CLASS STD 1, STD 2 And STD 3 (FREE 5 DAYS DEMO CLASS)",https://yoshops.com/products/online-tuition-for-class-std-1-std-2-and-std-3-free-5-days-demo-class,Services,,5.0 star rating
ONLINE CLASSES for STD 6 STD 7 STD 8 (FREE 5 DAYS DEMO CBSE),https://yoshops.com/products/online-tuition-for-class-6th-to-8th-free-5-days-demo-class,Services,,5.0 star rating
Selaginella Life Sciences PCD Pharma Franchise & Manufacturer,https://yoshops.com/products/selaginella-life-sciences-pcd-pharma-franchise-manufacturer,Services,,5.0 star rating
Medical Representatives Internship Training Program,https://yoshops.com/products/medical-representatives-internship-training-program1,Services,,5.0 star rating
YouTuber Prabeen Kumar -YouTube Channel-3 Subscriber-504 Instagram Follower-3k,https://yoshops.com/products/youtuber-prabeen-kumar-youtube-channel-3-subscriber-504-instagram-follower-3k,Services,,5.0 star rating
YouTuber Dipti Mishra -Subscriber-816 Instagram Follower-2k,https://yoshops.com/products/youtuber-dipti-mishra-subscriber-816-instagram-follower-2k,Services,,5.0 star rating
Onesta Life Care PCD Pharma Franchise Manufacturer,https://yoshops.com/products/onesta-life-care-pcd-pharma-franchise-manufacturer,Services,,5.0 star rating
ONLINE CLASSES for STD 9 and STD 10 (FREE 5 DAYS DEMO CBSE),https://yoshops.com/products/online-tuition-for-class-9th-to-10th-free-5-days-demo-class,Services,,5.0 star rating
Microtek Fingertip Pulse Oximeter,https://yoshops.com/products/microtek-fingertip-pulse-oximeter,Services,,5.0 star rating
Finance Internship Training Program,https://yoshops.com/products/finance-internship-training-program1,Services,Reviewd,5.0 star rating
Computer Coding Class for Kids STD 1 to STD 10 (Free 5 Demo Classes),https://yoshops.com/products/computer-coding-class-for-kids-grade-1-10-std-1-to-std-10-5-free-demo-class,Services,,5.0 star rating
Math and Finance Classes for Kids STD 1 to STD 10 (Free 5 Demo Classes),https://yoshops.com/products/math-and-finance-classes-for-kids-grade-1-10-std-1-to-std-10-5-free-demo-classes,Services,,5.0 star rating
Spoken English Classes For Kids (STD 1 to STD 10) Free 5 Demo Class,https://yoshops.com/products/spoken-english-classes-for-kids-std-1-to-std-10-5-free-demo-class,Services,,5.0 star rating
Maths and Computer Science Online Classes for STD 3 to STD 10 (FREE 5 DEMO CBSE Board),https://yoshops.com/products/maths-and-science-online-classes-for-std-9-and-std-10-free-5-demo-cbse-board,Services,,5.0 star rating
Upstox,https://yoshops.com/products/upstox,Services,,5.0 star rating
Olifair Day Cream Skin Lightening Cream for Women 50 ml(Riya Fruity Soap Free),https://yoshops.com/products/olifair-day-cream-skin-lightening-cream-for-women-50-ml1,Services,Reviewd,5.0 star rating
Olifair Super Combo Pack(Olifair Night Cream and Day Cream),https://yoshops.com/products/olifair-super-combo-pack-olifair-night-cream-and-day-cream,Services,Reviewd,5.0 star rating
